year,YOutput,PiT,VCC,GBondCentralBank,realWageIndex,LFirmLoan,exchangeRate,netForeignAssets,tradeBalance,capitalFlight,LaborProductivity,NominalWage,CostOfLiving
1,381.35593220338984,-0.3618649679842554,0.8586074905248643,155.0,0.6539682539682541,0.0,1.0,-182.20338983050848,17.796610169491522,0.0,0.8240000000000001,2.51652953760079,0.98
2,367.37288135593224,-0.4792275238081643,0.5838216912923881,260.0,0.6735873015873018,0.0,1.0,-162.30932203389833,19.894067796610166,0.0,0.8487200000000001,3.5218197274583813,0.9603999999999999
3,354.9279661016949,-0.4458217801891455,0.6199509380580728,365.0,0.6937949206349208,0.0,1.0,-140.54851694915254,21.76080508474577,0.0,0.8741816000000001,3.14690862358884,0.9411919999999999
4,266.1683757062147,-0.31319679591573857,0.9942758625679644,415.0,0.7157164246254125,0.0,1.0,-105.47377330508475,35.074743644067794,0.0,0.9004070480000002,2.3985322099060356,0.9223681599999999
5,256.31075833333335,-0.2051162829205465,1.2953791631658746,465.0,0.7371879173641749,0.0,1.0,-68.92038705508475,36.553386249999996,0.0,0.9274192594400001,1.7525579797934385,0.9039207967999998
6,247.53747887146895,-0.08955786571620233,1.7086244837167728,515.0,0.7593035548851002,0.0,1.0,-31.05100888580509,37.869378169279656,0.0,0.9552418372232002,1.2611762385762733,0.8858423808639998
7,240.2990436774915,0.028680747663759998,2.2833458285708783,565.0,0.7820826615316532,0.0,1.0,7.904134562571187,38.955143448376276,0.0,0.9838990923398963,0.8992205594495988,0.8681255332467198
8,369.96750259973237,0.16221077771088097,2.123967253194802,705.0,0.8047135944019479,0.0,1.0,27.409009172611334,19.504874610040147,0.0,1.0134160651100932,0.6725880287678416,0.8507630225817854
9,372.6193100483544,0.2654718919682061,3.002077003888595,845.0,0.8288550022340064,0.0,1.0,46.51611266535817,19.107103492746838,0.0,1.043818547063396,0.5061088208339122,0.8337477621301497
10,375.37718979492143,0.3483228932249963,4.251412124411951,985.0,0.8537206523010267,0.0,1.0,65.20953419611996,18.69342153076179,0.0,1.075133103475298,0.38001485193144846,0.8170728068875467
11,378.24538473135107,0.4111349461310596,6.040062504420182,1125.0,0.8793322718700576,0.0,1.0,83.4727264864173,18.26319229029734,0.0,1.107387096579557,0.28435256444632495,0.8007313507497957
12,381.22830746523783,0.45577940354207913,8.610243102901736,1265.0,0.9057122400261595,0.0,1.0,101.28848036663163,17.815753880214324,0.0,1.1406087094769437,0.21200310868195785,0.7847167237347998
13,384.3305471084802,0.4851155573919268,12.314855846237197,1405.0,0.9328836072269442,0.0,1.0,118.63889830035961,17.350417933727975,0.0,1.174826970761252,0.15749947522553517,0.7690223892601038
14,387.55687633745214,0.5022852467301071,17.67012730778061,1545.0,0.9608701154437526,0.0,1.0,135.5053668497418,16.866468549382184,0.0,1.2100717798840896,0.11660274819611327,0.7536419414749017
15,390.912258735583,0.5102240564567915,25.433155643585337,1685.0,0.9896962189070649,0.0,1.0,151.86852803940434,16.36316118966255,0.0,1.2463739332806123,0.08603495519971154,0.7385691026454037
