year,YOutput,PiT,VCC,GBondCentralBank,realWageIndex,LFirmLoan,exchangeRate,netForeignAssets,tradeBalance,capitalFlight,LaborProductivity,NominalWage,CostOfLiving
1,357.1412429378531,-0.3588903040026933,0.8953651535838538,155.0,0.6349206349206349,0.0,0.9879998101686336,-378.18846868184954,21.42881355932203,199.61728224117158,0.8,2.501783898305085,1.0
2,343.38664283341956,-0.49261753472006503,0.5718178608020107,260.0,0.634920634920635,0.0,0.9748487468564644,-579.6108279956101,22.853746701048095,224.27610601480862,0.8,3.5446072816305314,1.0
3,331.2269597960574,-0.47907779691725144,0.5682657081025034,365.0,0.6349206349206349,0.0,0.9607301047100323,-555.6251844294101,23.985643566199997,0.0,0.8,3.2170022483094,1.0
4,242.97058673446847,-0.36219385223526174,0.8723113472095045,415.0,0.6359047732602044,0.0,0.9317652296891517,-518.9988070315767,36.62637739783337,0.0,0.8,2.4855500947468405,1.0
5,232.4964815882016,-0.27343926064703383,1.0696281322442012,465.0,0.6359047732602043,0.0,0.9022895796259275,-482.2246030053602,36.77420402621646,0.0,0.8,1.8429680050202701,1.0
6,223.0775688879763,-0.17502842044059938,1.3250489675771833,515.0,0.6359047732602043,0.0,0.8725754871862085,-445.4927840148694,36.731818990490794,0.0,0.8,1.3489579723351328,1.0
7,214.5835550937718,-0.06950054407506251,1.6487724964382848,565.0,0.6359047732602043,0.0,0.8428684074850769,-408.96499434317474,36.52778967169468,0.0,0.8,0.9805016577901255,1.0
8,334.24498450035503,0.026091241197691902,1.2475295222519043,705.0,0.6352483423988565,0.0,0.8347581387696592,-392.8840935939883,16.08090074918639,0.0,0.8,0.7556859452741282,1.0
9,334.33719902723385,0.13595933009312938,1.6316074251101942,845.0,0.6352483423988566,0.0,0.8269777899557792,-377.3031731508438,15.580920443144528,0.0,0.8,0.5891920455688038,1.0
10,334.46755701564587,0.235763551816628,2.129093837047589,985.0,0.6352483423988565,0.0,0.8195151328373417,-362.2119776824464,15.091195468397416,0.0,0.8,0.46037169984318993,1.0
11,334.6357670277356,0.32379879572932707,2.776532915708875,1125.0,0.6352483423988566,0.0,0.8123585658622983,-347.60063505422954,14.611342628216839,0.0,0.8,0.35990046428558226,1.0
12,334.84156782952294,0.3988989779308832,3.619719678651475,1265.0,0.6352483423988565,0.0,0.8054970788732769,-333.4596438860806,14.140991168148943,0.0,0.8,0.2814125473690563,1.0
13,335.0847275134095,0.46086829879689534,4.71770413666489,1405.0,0.6352483423988566,0.0,0.7989202201295217,-319.7798616879374,13.67978219814318,0.0,0.8,0.22007595721737608,1.0
14,335.3650426752222,0.5103458833477535,6.1470477504686185,1545.0,0.6352483423988566,0.0,0.7926180654478534,-306.55249354458954,13.22736814334786,0.0,0.8,0.17213680133829506,1.0
15,335.6823376428876,0.5485303318018084,8.007085667394147,1685.0,0.6352483423988566,0.0,0.7865811893129301,-293.7690813226729,12.783412221916628,0.0,0.8,0.13466517891719065,1.0
