year,YOutput,PiT,VCC,GBondCentralBank,realWageIndex,LFirmLoan,exchangeRate,netForeignAssets,tradeBalance,capitalFlight,LaborProductivity,NominalWage,CostOfLiving
1,267.3446327683616,-0.2421298254032068,1.532678103130322,80.0,0.6527999999999999,495.0,0.9738926458157228,-313.9281689656492,34.898305084745765,148.82647405039495,0.8160000000000001,1.9914423396477234,0.985
2,228.1381840837729,-0.35853759153065395,1.0625579068699702,110.0,0.6658559999999999,473.25,0.9401505387305266,-443.95133671536325,39.52110671874527,169.54427446845932,0.8323200000000001,2.987163509471585,0.970225
3,216.62261996205197,-0.4025328719541351,0.8834804043372279,140.0,0.6791731200000001,454.76250000000005,0.905759706381585,-562.2707147708235,39.620421938824975,157.93979999428524,0.8489664000000001,3.2804087013570173,0.955671625
4,192.3975811429261,-0.2854371148469602,1.254019533594575,160.0,0.6937972783174764,439.048125,0.8665449962854009,-623.5889716406651,41.64910027775274,102.96735714759441,0.8659457280000001,2.256024797273499,0.941336550625
5,183.05798172740302,-0.08318995580305569,2.285411100621889,180.0,0.707673223883826,433.8146625750183,0.8275846769109695,-582.4370553367743,41.151916303890864,0.0,0.8832646425600001,1.1280123986367494,0.927216502365625
6,175.8301169729804,0.0908601196602435,4.2734111540565465,200.0,0.7218266883615024,457.3343100825201,0.7896356801735113,-542.1234975733531,40.3135577634212,0.0,0.9009299354112001,0.5640061993183747,0.9133082548301407
7,183.1730009139853,0.21504116081745658,8.368288633466541,220.0,0.7362632221287325,488.1121489545045,0.7576035641476532,-504.9708019353337,37.15269563801942,0.0,0.9189485341194241,0.28200309965918735,0.8996086310076885
8,169.26943718366113,0.25545615892281254,18.39075559521529,220.0,0.7355265905908346,530.5996084952352,0.7238701214990138,-467.2859155275816,37.68488640775214,0.0,0.9189485341194241,0.14100154982959368,0.8996086310076885
9,167.48595095949935,0.2724752421362879,38.62110758480614,220.0,0.7355265905908346,573.6466929386141,0.6926394630550566,-431.1558393355599,36.13007619202172,0.0,0.9189485341194241,0.07050077491479684,0.8996086310076885
10,166.71949600872924,0.2747528868518187,80.44853112810613,220.0,0.7355265905908346,617.8980957458424,0.6639748744672599,-396.6577633699173,34.4980759656426,0.0,0.9189485341194241,0.03525038745739842,0.8996086310076885
11,166.559165042666,0.2700941450958314,166.85145143161463,220.0,0.7355265905908346,663.6943497090807,0.6377731208722207,-363.79400323934794,32.86376013056933,0.0,0.9189485341194241,0.01762519372869921,0.8996086310076885
12,166.8163960406707,0.26239742929318965,345.15609201521823,220.0,0.7355265905908346,711.2395467408439,0.6138717093139596,-332.53565128041686,31.258351958931076,0.0,0.9189485341194241,0.008812596864349605,0.8996086310076885
13,167.41781386092327,0.253582219676357,712.6680909886887,220.0,0.7355265905908347,760.6878599769321,0.5920982095427232,-302.84482438210995,29.69082689830693,0.0,0.9189485341194241,0.004406298432174802,0.8996086310076885
14,168.32983458444258,0.2445546016233857,1469.2616009668204,220.0,0.7355265905908346,812.1733869395442,0.5722859425790336,-274.6823036466031,28.162520735506867,0.0,0.9189485341194241,0.002203149216087401,0.8996086310076885
15,169.5370749215829,0.2357272708522088,3025.0551155096673,220.0,0.7355265905908346,865.8236359905302,0.5542796280604526,-248.01086489134585,26.671438755257242,0.0,0.9189485341194241,0.0011015746080437006,0.8996086310076885
